Block,Field,US,UK English,Dansk (DK),Svenska (SE),Norsk (NO),Suomi (FI),Deutschland (DE)
B,Headline,"Locked Savings & Money Owed to You, and Expected Extraordinary Earnings / Payments","Locked Savings & Money Owed to You, and Expected Extraordinary Earnings / Payments","Bundet opsparing og tilgodehavender, samt forventede ekstraordinære indtægter/udbetalinger","Bundet sparande och fordringar, samt förväntade extraordinära intäkter/utbetalningar","Bundet sparing og tilgodehavender, samt forventede ekstraordinære inntekter/utbetalinger","Sidotut säästöt ja saamiset, sekä odotetut poikkeukselliset tulot/maksut",
,Subtitle,"Money that is yours but takes weeks or months to reach — fixed terms, notice periods, or someone still has to pay you.","Money that is yours but takes weeks or months to reach — fixed terms, notice periods, or someone still has to pay you.","Penge der er dine, men som tager uger eller måneder at få fat i — bindingsperiode, opsigelsesvarsel, eller nogen mangler at betale dig.","Pengar som är dina men tar veckor eller månader att komma åt — bindningstid, uppsägningstid, eller någon har inte betalat dig än.","Penger som er dine, men som tar uker eller måneder å få tak i — bindingstid, oppsigelsestid, eller noen skylder deg penger.","Rahat, jotka ovat sinun mutta joiden saaminen kestää viikkoja tai kuukausia — määräaika, irtisanomisaika tai joku on velkaa sinulle.",
,Examples,"Certificate of deposit (CD), notice savings account, security deposit held by a landlord, money a friend or family member owes you, a tax refund or insurance payout you’re waiting for, escrow balance","Fixed-rate bond, notice savings account, tenancy deposit held in a protection scheme, money a friend or family member owes you, a tax refund or insurance payout you’re waiting for","Fastforrentet indlån med binding, opsparing med opsigelsesvarsel, depositum hos udlejer, penge familie eller venner skylder dig, overskydende skat eller forsikringsudbetaling du venter på","Fasträntekonto/bundet sparkonto, sparkonto med uppsägningstid, deposition hos hyresvärd, pengar någon är skyldig dig, skatteåterbäring eller försäkringsersättning du väntar på","Fastrentekonto/bundet sparekonto, BSU, sparekonto med oppsigelsestid, depositum hos utleier, penger noen skylder deg, skattepenger til gode eller forsikringsoppgjør du venter på","Määräaikaistalletus, irtisanomisajallinen säästötili, vuokravakuus, läheisen sinulle velkaa oleva summa, veronpalautus tai vakuutuskorvaus jota odotat",
,NotHere,Not here: instant-access savings → A. Investments you could sell any day → C. Retirement accounts → E.,Not here: instant-access savings → A. Investments you could sell any day → C. Pensions → E.,Ikke her: fri opsparing → A. Investeringer du kan sælge når som helst → C. Pension → E.,Inte här: sparande utan bindningstid → A. Investeringar du kan sälja när som helst → C. Pension → E.,Ikke her: sparing uten binding → A. Investeringer du kan selge når som helst → C. Pensjon → E.,Ei tähän: vapaasti nostettavat säästöt → A. Milloin tahansa myytävät sijoitukset → C. Eläkkeet → E.,
,Tip,"Write when you get access in the name, e.g. “CD, matures March 2027”. Many people leave this block empty — that’s normal.","Write when you get access in the name, e.g. “Fixed bond, matures March 2027”. Many people leave this block empty — that’s normal.","Skriv i navnet hvornår du kan få pengene, f.eks. “Bundet indlån, frigives marts 2027”. Mange lader dette felt stå tomt — det er helt normalt.","Skriv i namnet när du kommer åt pengarna, t.ex. “Fasträntekonto, frigörs mars 2027”. Många lämnar det här blocket tomt — det är helt normalt.","Skriv i navnet når du får tilgang, f.eks. “Fastrentekonto, frigis mars 2027”. Mange lar dette feltet stå tomt — det er helt normalt.","Kirjoita nimeen milloin saat rahat, esim. “Määräaikaistalletus, erääntyy 3/2027”. Moni jättää tämän lohkon tyhjäksi — se on normaalia.",
,Placeholder,"e.g. 12-month CD, matures 03/2027","e.g. Fixed-rate bond, matures 03/2027","f.eks. Depositum, lejlighed","t.ex. Deposition, hyreslägenhet","f.eks. Depositum, leilighet","esim. Vuokravakuus, asunto",
,,,,,,,,
B2,Headline,Loans & Bills You Owe,Loans & Bills You Owe,Lån og ubetalte regninger,Lån och obetalda räkningar,Lån og ubetalte regninger,Lainat ja maksamattomat laskut,
,Subtitle,"Money you already owe someone — a loan, a bill or a tax demand. Not something you are only planning to buy.","Money you already owe someone — a loan, a bill or a tax demand. Not something you are only planning to buy.","Penge du allerede skylder nogen — et lån, en regning eller en skatteopkrævning. Ikke noget du blot planlægger at købe.","Pengar du redan är skyldig någon — ett lån, en räkning eller kvarskatt. Inte något du bara planerar att köpa.","Penger du allerede skylder noen — et lån, en regning eller restskatt. Ikke noe du bare planlegger å kjøpe.","Rahat, jotka olet jo velkaa — laina, lasku tai jäännösvero. Ei jokin, jonka vasta aiot ostaa.",
,Examples,"Personal loan, student loans, taxes owed this year, unpaid bills or invoices, a payment plan (dentist, vet, repair), money borrowed from family","Unsecured personal loan, student loan balance (Plan 1/2/5), Self Assessment tax owed, unpaid bills or invoices, a payment plan (dentist, vet, repair), money borrowed from family","Forbrugslån, SU-lån, restskat for i år, ubetalte regninger, afdragsordning (tandlæge, dyrlæge, reparation), lån fra familie","Blancolån/privatlån, CSN-lån, kvarskatt för i år, obetalda räkningar, avbetalningsplan (tandläkare, veterinär, reparation), lån från familj","Forbrukslån, studielån (Lånekassen), restskatt for i år, ubetalte regninger, nedbetalingsavtale (tannlege, veterinær, reparasjon), lån fra familie","Kulutusluotto, opintolaina, kuluvan vuoden jäännösvero, maksamattomat laskut, maksusuunnitelma (hammaslääkäri, eläinlääkäri, korjaus), laina läheiseltä",
,NotHere,"Not here: things you plan to buy or repair. A future kitchen or a second car is a goal, not a debt → put it in Goals (G). Credit cards → A2. Mortgage and auto loans → D2.","Not here: things you plan to buy or repair. A future kitchen or a second car is a goal, not a debt → put it in Goals (G). Credit cards → A2. Mortgage and car finance → D2.","Ikke her: ting du planlægger at købe eller reparere. Et kommende køkken eller en ekstra bil er et mål, ikke gæld → skriv det i Mål (G). Kreditkort → A2. Realkredit og billån → D2.","Inte här: saker du planerar att köpa eller renovera. Ett framtida kök eller en andra bil är ett mål, inte en skuld → skriv det i Mål (G). Kreditkort → A2. Bolån och billån → D2.","Ikke her: ting du planlegger å kjøpe eller reparere. Et fremtidig kjøkken eller bil nummer to er et mål, ikke gjeld → skriv det i Mål (G). Kredittkort → A2. Bolig- og billån → D2.","Ei tähän: asiat joita vasta aiot ostaa tai korjata. Tuleva keittiö tai toinen auto on tavoite, ei velka → kirjaa se kohtaan Tavoitteet (G). Luottokortit → A2. Asunto- ja autolainat → D2.",
,Tip,"The test: if a court could make you pay it today, it belongs here. If not, it’s a plan — and plans go in Goals.","The test: if you are legally on the hook for it today, it belongs here. If not, it’s a plan — and plans go in Goals.","Testen: er du juridisk forpligtet til at betale det i dag, hører det til her. Ellers er det en plan — og planer hører til i Mål.",Testet: är du juridiskt skyldig att betala i dag hör det hemma här. Annars är det en plan — och planer hör hemma i Mål.,"Testen: er du juridisk forpliktet til å betale i dag, hører det hjemme her. Ellers er det en plan — og planer hører hjemme i Mål.","Testi: jos olet jo juridisesti velvollinen maksamaan, se kuuluu tänne. Muuten se on suunnitelma — ja suunnitelmat kuuluvat Tavoitteisiin.",
,Placeholder,e.g. Student loan 5.5%,"e.g. Personal loan, Santander 6.9%","f.eks. Forbrugslån, Nordea 6,9%","t.ex. Privatlån, SEB 6,9%","f.eks. Forbrukslån, DNB 6,9%","esim. Kulutusluotto, OP 6,9%",
,,,,,,,,
C,Headline,Investments,Investments,Investeringer,Investeringar,Investeringer,Sijoitukset,
,Subtitle,"Money invested to grow over years — stocks, funds and other assets you don’t plan to spend soon.","Money invested to grow over years — shares, funds and other assets you don’t plan to spend soon.","Penge investeret for at vokse over år — aktier, fonde og andre aktiver du ikke skal bruge lige med det samme.","Pengar investerade för att växa över år — aktier, fonder och andra tillgångar du inte ska använda snart.","Penger investert for å vokse over år — aksjer, fond og andre eiendeler du ikke skal bruke med det første.","Rahat, jotka on sijoitettu kasvamaan vuosiksi — osakkeet, rahastot ja muu omaisuus, jota et aio pian käyttää.",
,Examples,"Brokerage account, index funds and ETFs, individual stocks, Roth/traditional IRA held outside a workplace plan, vested employer stock (RSUs), rental property, crypto, gold, private company shares","Stocks & Shares ISA, general investment account, index funds and ETFs, individual shares, vested employer share scheme (SAYE/SIP), buy-to-let property, crypto, gold, unlisted company shares","Aktiesparekonto, frit depot, indeksfonde og ETF’er, enkeltaktier, medarbejderaktier (frigivne), udlejningsejendom, krypto, guld, unoterede aktier","ISK, kapitalförsäkring, aktie- och fonddepå, indexfonder och ETF:er, enskilda aktier, personalaktier (intjänade), hyresfastighet, krypto, guld, onoterade aktier","Aksjesparekonto (ASK), fondskonto, verdipapirkonto, indeksfond og ETF-er, enkeltaksjer, ansatteaksjer (innløste), utleiebolig, krypto, gull, unoterte aksjer","Osakesäästötili, arvo-osuustili, indeksirahastot ja ETF:t, yksittäiset osakkeet, ansaitut työsuhdeosakkeet, sijoitusasunto, krypto, kulta, listaamattomat osakkeet",
,NotHere,Not here: retirement accounts through work → E. The home you live in → D. Cash sitting uninvested → A.,Not here: pensions → E. The home you live in → D. Cash sitting uninvested → A.,Ikke her: pension → E. Den bolig du selv bor i → D. Kontanter der ikke er investeret → A.,Inte här: pension → E. Bostaden du bor i → D. Pengar som står oinvesterade → A.,Ikke her: pensjon → E. Boligen du bor i → D. Penger som står uinvestert → A.,Ei tähän: eläkkeet → E. Asunto jossa asut → D. Sijoittamaton käteinen → A.,
,Tip,"This is the block the “Assets and investments” forecast grows from — if your stocks are in the wrong block, the forecast will be wrong. One row per account is enough.","This is the block the “Assets and investments” forecast grows from — if your shares are in the wrong block, the forecast will be wrong. One row per account is enough.","Det er dette felt, prognosen “Aktiver og investeringer” vokser ud fra — står dine aktier i det forkerte felt, bliver prognosen forkert. Én række pr. konto er nok.",Det är det här blocket som prognosen “Tillgångar och investeringar” växer från — ligger dina aktier i fel block blir prognosen fel. En rad per konto räcker.,"Det er dette feltet prognosen “Eiendeler og investeringer” vokser fra — ligger aksjene dine i feil felt, blir prognosen feil. Én rad per konto holder.","Tästä lohkosta ennuste “Varat ja sijoitukset” kasvaa — jos osakkeesi ovat väärässä lohkossa, ennuste menee pieleen. Yksi rivi per tili riittää.",
,Placeholder,e.g. Vanguard brokerage — total market index,e.g. Vanguard S&S ISA — global index fund,f.eks. Aktiesparekonto — globalt indeks,t.ex. ISK Avanza — globalfond,f.eks. ASK Nordnet — globalt indeksfond,esim. Osakesäästötili — maailmanindeksi,
,,,,,,,,
C2,Headline,Debt and Potential Tax Against Investments,Debt and Potential Tax Against Investments,Gæld og potentiel skat knyttet til investeringer,Skulder och potentiell skatt kopplade till investeringar,Gjeld og potensiell skatt knyttet til investeringer,Sijoituksiin liittyvät velat ja mahdollinen vero,
,Subtitle,Borrowing secured on — or taken out to buy — the investments above.,Borrowing secured on — or taken out to buy — the investments above.,Lån med sikkerhed i — eller optaget for at købe — investeringerne ovenfor.,Lån med säkerhet i — eller taget för att köpa — investeringarna ovan.,Lån med sikkerhet i — eller tatt opp for å kjøpe — investeringene over.,"Lainat, joiden vakuutena ovat — tai jotka on otettu ostamaan — yllä olevat sijoitukset.",
,Examples,"Rental property mortgage, second-property mortgage, margin loan on a brokerage account, commercial property loan, a loan taken out to invest","Buy-to-let mortgage, second-property mortgage, margin loan on a brokerage account, commercial property loan, a loan taken out to invest","Realkredit i udlejningsejendom, lån i sommerhus til udlejning, belåning af værdipapirdepot, erhvervsejendomslån, lån optaget for at investere","Bolån på hyresfastighet, lån på andra bostad för uthyrning, belåning av värdepappersdepå, lån på kommersiell fastighet, lån taget för att investera","Lån på utleiebolig, lån på sekundærbolig, belåning av verdipapirkonto, næringseiendomslån, lån tatt opp for å investere","Sijoitusasuntolaina, kakkosasunnon laina, arvopaperisalkun vakuudellinen laina, liikekiinteistölaina, sijoittamista varten otettu laina",
,NotHere,Not here: the mortgage on the home you live in → D2.,Not here: the mortgage on the home you live in → D2.,Ikke her: lånet i den bolig du selv bor i → D2.,Inte här: lånet på bostaden du bor i → D2.,Ikke her: lånet på boligen du bor i → D2.,Ei tähän: oman asuntosi laina → D2.,
,Tip,Most people leave this block empty — that’s completely normal.,Most people leave this block empty — that’s completely normal.,De fleste lader dette felt stå tomt — det er helt normalt.,De flesta lämnar det här blocket tomt — det är helt normalt.,De fleste lar dette feltet stå tomt — det er helt normalt.,Useimmat jättävät tämän lohkon tyhjäksi — se on täysin normaalia.,
,Placeholder,e.g. Rental property mortgage 5.2%,e.g. Buy-to-let mortgage 5.2%,"f.eks. Realkredit, udlejningslejlighed 5,2%","t.ex. Bolån hyreslägenhet 5,2%","f.eks. Lån utleiebolig 5,2%","esim. Sijoitusasuntolaina 5,2%",
,,,,,,,,
C3,Headline,Tax If You Sold (Optional),Tax If You Sold (Optional),Latent skat ved salg (valgfri),Skatt vid försäljning (frivillig),Skatt ved salg (valgfri),Vero jos myisit (vapaaehtoinen),
,Subtitle,Optional. A rough estimate of the capital gains tax you would pay if you sold the investments in block C today.,Optional. A rough estimate of the capital gains tax you would pay if you sold the investments in block C today.,"Valgfri. Et groft skøn over den skat, du ville betale hvis du solgte investeringerne i felt C i dag.",Frivillig. En grov uppskattning av skatten du skulle betala om du sålde investeringarna i block C i dag.,Valgfri. Et grovt anslag over skatten du ville betalt hvis du solgte investeringene i felt C i dag.,"Vapaaehtoinen. Karkea arvio verosta, jonka maksaisit jos myisit lohkon C sijoitukset tänään.",
,Examples,"Capital gains tax on unrealized profit in a taxable brokerage account, deferred tax on a rental property","Capital gains tax on unrealised profit in a general investment account, deferred tax on a rental property","Skat af urealiseret gevinst på frit depot eller aktiesparekonto, udskudt skat ved salg af udlejningsejendom","Skatt på orealiserad vinst i aktie- och fonddepå, uppskjuten skatt vid försäljning av hyresfastighet","Skatt på urealisert gevinst på verdipapirkonto/ASK, utsatt skatt ved salg av utleiebolig","Vero realisoitumattomasta voitosta arvo-osuustilillä, sijoitusasunnon luovutusvoittovero",
,NotHere,Not here: tax already demanded for this year → B2. Retirement accounts and the home you live in are usually treated differently — leave them out.,Not here: tax already demanded for this year → B2. Money inside an ISA and the home you live in are normally exempt — leave them out.,Ikke her: skat du allerede er opkrævet for i år → B2. Din egen bolig er normalt skattefri ved salg — lad den stå udenfor.,"Inte här: skatt du redan blivit debiterad för i år → B2. ISK beskattas löpande, inte vid försäljning — ta inte med den här.",Ikke her: skatt du allerede er avkrevd for i år → B2. Boligen du bor i er normalt skattefri ved salg — hold den utenfor.,Ei tähän: tälle vuodelle jo määrätty vero → B2. Oma vakituinen asunto on yleensä verovapaa — jätä se pois.,
,Tip,A quick estimate: (what it’s worth now − what you paid) × your capital gains rate. Leaving it empty is fine — it just means your net worth is shown before tax.,A quick estimate: (what it’s worth now − what you paid) × your capital gains rate. Leaving it empty is fine — it just means your net worth is shown before tax.,Hurtigt skøn: (værdi i dag − hvad du gav) × din skatteprocent på aktiegevinst. Det er fint at lade feltet stå tomt — så vises din formue blot før skat.,Snabb uppskattning: (värde i dag − vad du betalade) × din skattesats på kapitalvinst. Det går bra att lämna tomt — då visas din förmögenhet före skatt.,Raskt anslag: (verdi i dag − det du betalte) × skattesatsen din på aksjegevinst. Det er greit å la feltet stå tomt — da vises formuen din før skatt.,Nopea arvio: (nykyarvo − hankintahinta) × luovutusvoittoveroprosenttisi. Tyhjäksi jättäminen on ok — silloin varallisuutesi näkyy ennen veroja.,
,Placeholder,"e.g. Est. capital gains tax, brokerage",e.g. Est. CGT on GIA gain,"f.eks. Skønnet skat, frit depot","t.ex. Uppskattad skatt, aktiedepå","f.eks. Anslag skatt, verdipapirkonto","esim. Arvioitu vero, arvo-osuustili",
,,,,,,,,
D,Headline,Your Home & Belongings,Your Home & Belongings,Din bolig og dine ejendele,Din bostad och dina ägodelar,Din bolig og dine eiendeler,Asuntosi ja omaisuutesi,
,Subtitle,What your home and your personal things would realistically sell for today — not what you paid for them.,What your home and your personal things would realistically sell for today — not what you paid for them.,Hvad din bolig og dine ting realistisk kan sælges for i dag — ikke hvad du gav for dem.,Vad din bostad och dina saker realistiskt skulle säljas för i dag — inte vad du betalade.,Hva boligen din og tingene dine realistisk kan selges for i dag — ikke hva du betalte.,Mitä asuntosi ja tavarasi realistisesti myytäisiin tänään — ei mitä niistä maksoit.,
,Examples,"Primary residence, vacation home, car(s) you own outright, motorcycle, RV or boat, jewelry, watches, art, collections","Main residence, holiday home, car(s) you own outright, motorbike, caravan or boat, jewellery, watches, art, collections","Primær bolig, sommerhus, bil(er) du ejer fuldt ud, motorcykel, campingvogn eller båd, smykker, ure, kunst, samlinger","Permanentbostad, fritidshus, bil(ar) du äger helt, motorcykel, husvagn eller båt, smycken, klockor, konst, samlingar","Primærbolig, hytte, bil(er) du eier fullt ut, motorsykkel, campingvogn eller båt, smykker, klokker, kunst, samlinger","Vakituinen asunto, vapaa-ajan asunto, kokonaan omistamasi auto(t), moottoripyörä, asuntovaunu tai vene, korut, kellot, taide, kokoelmat",
,NotHere,"Not here: a leased car — you don’t own it, so put the monthly payment in K instead. Property you rent out → C. Furniture and everyday belongings → leave out.","Not here: a car on lease or PCP — you don’t own it, so put the monthly payment in K instead. Property you rent out → C. Furniture and everyday belongings → leave out.","Ikke her: en leaset bil — den ejer du ikke, så skriv den månedlige ydelse i K i stedet. Bolig du lejer ud → C. Møbler og almindeligt indbo → lad stå udenfor.","Inte här: en leasad bil — den äger du inte, skriv månadskostnaden i K i stället. Bostad du hyr ut → C. Möbler och vardagliga saker → utelämna.","Ikke her: en leaset bil — den eier du ikke, skriv månedsbeløpet i K i stedet. Bolig du leier ut → C. Møbler og vanlig innbo → hold utenfor.","Ei tähän: leasing-auto — et omista sitä, joten kirjaa kuukausimaksu kohtaan K. Vuokralle antamasi asunto → C. Huonekalut ja arkitavarat → jätä pois.",
,Tip,"Use a realistic sale price — a recent local sale or an online valuation is close enough for the home. Personal items usually sell for far less than they cost, so be conservative or leave the small ones out.","Use a realistic sale price — a recent local sale or an online valuation is close enough for the home. Personal items usually sell for far less than they cost, so be conservative or leave the small ones out.","Brug en realistisk salgspris — et nyligt salg i området eller en online vurdering er præcist nok for boligen. Personlige ting sælges typisk for langt mindre end de kostede, så vær forsigtig eller lad de små stå udenfor.","Använd ett realistiskt försäljningspris — en nyligen såld granne eller en onlinevärdering räcker för bostaden. Personliga saker säljs oftast för mycket mindre än de kostade, så var försiktig eller utelämna småsakerna.","Bruk en realistisk salgspris — et nylig salg i nærheten eller en nettverdivurdering holder for boligen. Personlige ting selges som regel for langt mindre enn de kostet, så vær forsiktig eller hold de små utenfor.","Käytä realistista myyntihintaa — lähialueen viimeaikainen kauppa tai verkkoarvio riittää asunnolle. Henkilökohtaiset tavarat myydään yleensä paljon hankintahintaa halvemmalla, joten arvioi varovasti tai jätä pienet pois.",
,Placeholder,"e.g. Home — 3 bed, Austin","e.g. Flat — 3 bed, Manchester","f.eks. Ejerlejlighed — 3 vær., Århus","t.ex. Bostadsrätt — 3 rok, Göteborg","f.eks. Leilighet — 3 rom, Bergen","esim. Kerrostaloasunto — 3h, Tampere",
,,,,,,,,
D2,Headline,Mortgage & Loans On What You Own,Mortgage & Loans On What You Own,Bolig- og billån,Bolån och billån,Bolig- og billån,Asunto- ja autolainat,
,Subtitle,The balance still outstanding on loans secured against your home and vehicles — not the monthly payment.,The balance still outstanding on loans secured against your home and vehicles — not the monthly payment.,Restgælden på lån med sikkerhed i din bolig og dine køretøjer — ikke den månedlige ydelse.,Kvarvarande skuld på lån med säkerhet i din bostad och dina fordon — inte månadsbetalningen.,Restgjelden på lån med sikkerhet i boligen og kjøretøyene dine — ikke månedsbeløpet.,"Jäljellä oleva velka lainoista, joiden vakuutena on asuntosi tai ajoneuvosi — ei kuukausierä.",
,Examples,"Primary mortgage, second mortgage or HELOC, vacation home mortgage, auto loan, boat or RV financing, home improvement loan","Main residence mortgage, second charge or further advance, holiday home mortgage, car finance (HP), boat or caravan finance, home improvement loan","Realkreditlån i primær bolig, banklån/bolig-tillægslån, lån i sommerhus, billån, båd- eller campingvognslån, renoveringslån","Bolån på permanentbostad, topp-/tilläggslån, lån på fritidshus, billån, båt- eller husvagnslån, renoveringslån","Boliglån på primærbolig, rammelån/fleksilån, lån på hytte, billån, båt- eller campingvognlån, oppussingslån","Vakituisen asunnon asuntolaina, lisälaina/joustoluotto, vapaa-ajan asunnon laina, autolaina, vene- tai asuntovaunulaina, remonttilaina",
,NotHere,Not here: the monthly payment — that belongs in Monthly Spending (K). Enter the balance you still owe here and the payment there. Rental property mortgage → C2.,Not here: the monthly payment — that belongs in Monthly Outgoings (K). Enter the balance you still owe here and the payment there. Buy-to-let mortgage → C2.,Ikke her: den månedlige ydelse — den hører til i Månedlige udgifter (K). Skriv restgælden her og ydelsen der. Lån i udlejningsejendom → C2.,Inte här: månadsbetalningen — den hör hemma i Månatliga utgifter (K). Skriv kvarvarande skuld här och betalningen där. Lån på hyresfastighet → C2.,Ikke her: månedsbeløpet — det hører hjemme i Månedlige utgifter (K). Skriv restgjelden her og betalingen der. Lån på utleiebolig → C2.,Ei tähän: kuukausierä — se kuuluu kohtaan Kuukausittaiset menot (K). Kirjaa jäljellä oleva velka tähän ja maksuerä sinne. Sijoitusasunnon laina → C2.,
,Tip,"Put the rate and how long it’s fixed in the name, e.g. “Mortgage 4.8%, fixed to 2030”. It makes the AI analysis far sharper.","Put the rate and how long it’s fixed in the name, e.g. “HSBC mortgage 4.8%, fixed to 2030”. It makes the AI analysis far sharper.","Skriv rente og bindingsperiode i navnet, f.eks. “Realkredit 4,8%, fast til 2030”. Det gør AI-analysen langt skarpere.","Skriv ränta och bindningstid i namnet, t.ex. “Bolån 4,8%, bundet till 2030”. Det gör AI-analysen mycket vassare.","Skriv rente og bindingstid i navnet, f.eks. “Boliglån 4,8%, fast til 2030”. Det gjør AI-analysen mye skarpere.","Kirjoita korko ja kiinnitysaika nimeen, esim. “Asuntolaina 4,8%, kiinteä 2030 asti”. Se terävöittää AI-analyysia huomattavasti.",
